Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
50,"Mikal Bridges, SF",PHX,60,32.5,-0.51,2.25,1.74,6.54,,,,,,,,,,,
51,"John Collins, PF",ATL,52,30.0,-0.08,1.80,1.72,5.28,,,,,,,,,,,
52,"Marcus Smart, PG",BOS,41,32.6,0.89,0.82,1.72,4.80,,,,,,,,,,,
53,"Kemba Walker, PG",BOS,39,31.5,1.82,-0.12,1.70,4.19,,,,,,,,,,,
54,"Reggie Bullock, SF",NY,54,28.9,-1.53,3.20,1.66,4.69,,,,,,,,,,,
55,"Russell Westbrook, PG",WSH,53,35.6,1.78,-0.16,1.62,6.44,,,,,,,,,,,
56,"Wayne Ellington, SG",DET,43,21.9,1.30,0.30,1.59,3.01,,,,,,,,,,,
57,"Anthony Davis, PF",LAL,25,32.0,0.77,0.81,1.58,2.61,,,,,,,,,,,
58,"Brandon Ingram, SF",NO,55,34.5,0.63,0.91,1.54,5.95,,,,,,,,,,,
59,"Bojan Bogdanovic, SF",UTAH,60,30.6,0.18,1.34,1.52,6.06,,,,,,,,,,,
60,"Derrick White, PG",SA,35,29.8,1.36,0.15,1.50,3.41,,,,,,,,,,,
61,"Khris Middleton, SF",MIL,58,33.2,1.29,0.20,1.49,6.49,,,,,,,,,,,
62,"Deandre Ayton, C",PHX,60,30.7,-1.66,3.13,1.47,5.61,,,,,,,,,,,
63,"De'Anthony Melton, SG",MEM,39,20.4,2.71,-1.24,1.47,3.24,,,,,,,,,,,
64,"Buddy Hield, SG",SAC,59,34.4,1.01,0.42,1.43,6.34,,,,,,,,,,,
65,"Jerami Grant, SF",DET,52,34.2,0.05,1.38,1.43,5.67,,,,,,,,,,,
66,"Bogdan Bogdanovic, SG",ATL,36,28.8,1.82,-0.41,1.41,3.61,,,,,,,,,,,
67,"Victor Oladipo, SG",HOU/IND/MIA,33,32.7,0.71,0.66,1.37,3.39,,,,,,,,,,,
68,"Dejounte Murray, PG",SA,56,31.6,-0.86,2.21,1.35,5.52,,,,,,,,,,,
69,"Grayson Allen, SG",MEM,46,25.7,1.36,-0.02,1.34,3.83,,,,,,,,,,,
70,"Myles Turner, C",IND,47,31.0,-2.15,3.46,1.31,4.23,,,,,,,,,,,
71,"Joe Ingles, SG",UTAH,55,27.4,2.04,-0.74,1.30,5.28,,,,,,,,,,,
72,"Evan Fournier, SG",BOS/ORL,32,29.5,1.36,-0.08,1.29,2.89,,,,,,,,,,,
73,"Kristaps Porzingis, C",DAL,39,31.4,0.77,0.51,1.28,3.73,,,,,,,,,,,
74,"Karl-Anthony Towns, C",MIN,39,34.3,1.77,-0.51,1.26,4.14,,,,,,,,,,,
75,"Dillon Brooks, SF",MEM,55,29.5,0.20,1.06,1.26,4.79,,,,,,,,,,,
76,"Domantas Sabonis, PF",IND,53,35.7,-0.74,1.99,1.25,5.69,,,,,,,,,,,
77,"LaMelo Ball, PG",CHA,41,28.6,3.48,-2.24,1.25,4.16,,,,,,,,,,,
78,"Caris LeVert, SG",IND/BKN,36,30.9,1.31,-0.07,1.24,3.51,,,,,,,,,,,
79,"Pascal Siakam, PF",TOR,48,35.7,-0.19,1.42,1.23,5.14,,,,,,,,,,,
80,"Gordon Hayward, SF",CHA,44,34.0,0.34,0.80,1.14,4.46,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
81,"Mason Plumlee, C",DET,54,26.9,-1.40,2.53,1.13,3.96,,,,,,,,,,,
82,"Kendrick Nunn, SG",MIA,47,29.0,0.06,1.07,1.13,3.81,,,,,,,,,,,
83,"Malik Beasley, SG",MIN,37,32.8,1.15,-0.06,1.10,3.51,,,,,,,,,,,
84,"Brook Lopez, C",MIL,59,27.2,-0.86,1.95,1.09,4.74,,,,,,,,,,,
85,"Chris Boucher, PF",TOR,59,24.0,1.30,-0.21,1.09,4.57,,,,,,,,,,,
86,"Jordan Poole, SG",GS,40,18.4,2.75,-1.68,1.06,2.27,,,,,,,,,,,
87,"Kevin Love, PF",CLE,17,23.1,1.28,-0.23,1.05,1.05,,,,,,,,,,,
88,"Nikola Vucevic, C",CHI/ORL,61,33.5,0.17,0.85,1.02,5.73,,,,,,,,,,,
89,"OG Anunoby, SF",TOR,39,33.2,-0.52,1.51,0.98,3.49,,,,,,,,,,,
90,"De'Andre Hunter, SF",ATL,20,31.3,0.39,0.58,0.97,1.81,,,,,,,,,,,
91,"Michael Porter Jr., SF",DEN,50,31.1,0.38,0.58,0.97,4.06,,,,,,,,,,,
92,"Andrew Wiggins, SF",GS,61,33.0,-1.35,2.31,0.96,5.59,,,,,,,,,,,
93,"Dennis Schroder, PG",LAL,56,32.0,-0.52,1.46,0.94,4.86,,,,,,,,,,,
94,"Norman Powell, SF",POR/TOR,58,31.5,1.10,-0.17,0.93,5.11,,,,,,,,,,,
95,"Mike Muscala, C",OKC,35,18.4,1.32,-0.39,0.93,2.15,,,,,,,,,,,
96,"Thomas Bryant, C",WSH,10,27.1,0.59,0.30,0.89,0.78,,,,,,,,,,,
97,"Harrison Barnes, SF",SAC,57,36.5,-1.05,1.92,0.88,5.48,,,,,,,,,,,
98,"Oshae Brissett, F",IND,9,17.8,1.13,-0.29,0.84,0.45,,,,,,,,,,,
99,"Shai Gilgeous-Alexander, SG",OKC,35,33.7,0.80,0.02,0.82,2.99,,,,,,,,,,,
100,"Royce O'Neale, PF",UTAH,59,32.0,-1.59,2.39,0.80,4.90,,,,,,,,,,,
101,"Kelly Olynyk, PF",HOU/MIA,60,28.0,-0.15,0.92,0.77,4.29,,,,,,,,,,,
102,"Al Horford, C",OKC,28,27.9,-0.62,1.39,0.77,1.83,,,,,,,,,,,
103,"Jarrett Allen, C",CLE/BKN,51,29.1,-0.56,1.33,0.77,3.88,,,,,,,,,,,
104,"Seth Curry, SG",PHI,47,28.9,-0.54,1.25,0.71,3.31,,,,,,,,,,,
105,"Sam Merrill, SG",MIL,27,7.4,1.64,-0.97,0.67,0.60,,,,,,,,,,,
106,"Paul Millsap, PF",DEN,47,21.2,-0.96,1.62,0.66,2.22,,,,,,,,,,,
107,"Davis Bertans, SF",WSH,45,24.8,2.26,-1.61,0.65,3.24,,,,,,,,,,,
108,"Kevin Huerter, SG",ATL,61,31.4,-0.21,0.86,0.65,4.79,,,,,,,,,,,
109,"Kyle Guy, SG",SAC,23,6.8,1.42,-0.78,0.65,0.48,,,,,,,,,,,
110,"Draymond Green, PF",GS,53,30.9,-0.62,1.24,0.63,4.06,,,,,,,,,,,
111,"Nicolas Batum, PF",LAC,58,28.4,-0.69,1.31,0.62,4.18,,,,,,,,,,,
112,"Eric Gordon, SG",HOU,27,29.2,2.45,-1.83,0.62,2.18,,,,,,,,,,,
113,"Luguentz Dort, SF",OKC,46,29.7,-1.43,2.03,0.60,3.11,,,,,,,,,,,
114,"Ja Morant, PG",MEM,51,32.2,1.23,-0.64,0.59,3.90,,,,,,,,,,,
115,"Reggie Jackson, PG",LAC,58,22.8,0.14,0.44,0.58,3.20,,,,,,,,,,,
116,"Mason Jones, SG",HOU/PHI,31,10.6,1.89,-1.37,0.52,0.92,,,,,,,,,,,
117,"Doug McDermott, SF",IND,54,24.2,1.34,-0.83,0.51,3.43,,,,,,,,,,,
118,"Jakob Poeltl, C",SA,58,26.3,-1.51,2.02,0.51,3.77,,,,,,,,,,,
119,"D'Angelo Russell, PG",MIN,31,27.7,2.22,-1.72,0.50,2.16,,,,,,,,,,,
120,"Cameron Johnson, SF",PHX,54,23.7,0.84,-0.38,0.46,3.23,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
121,"Ersan Ilyasova, PF",UTAH,10,8.7,0.92,-0.46,0.46,0.24,,,,,,,,,,,
122,"Jordan Clarkson, PG",UTAH,56,26.0,2.79,-2.35,0.44,4.07,,,,,,,,,,,
123,"Richaun Holmes, C",SAC,51,29.8,-1.09,1.53,0.44,3.32,,,,,,,,,,,
124,"Serge Ibaka, C",LAC,39,23.6,-1.19,1.51,0.32,1.86,,,,,,,,,,,
125,"Aaron Gordon, PF",DEN/ORL,40,28.3,-1.28,1.58,0.29,2.22,,,,,,,,,,,
126,"Kentavious Caldwell-Pope, SG",LAL,55,27.4,-1.36,1.61,0.25,3.04,,,,,,,,,,,
127,"Ivica Zubac, C",LAC,62,22.4,-0.53,0.71,0.18,3.08,,,,,,,,,,,
128,"Lauri Markkanen, PF",CHI,40,26.8,0.65,-0.48,0.17,2.39,,,,,,,,,,,
129,"Monte Morris, PG",DEN,44,26.2,0.30,-0.14,0.16,2.50,,,,,,,,,,,
130,"Mychal Mulder, SG",GS,49,10.4,0.75,-0.60,0.15,1.23,,,,,,,,,,,
131,"Keldon Johnson, SF",SA,56,28.6,-0.93,1.07,0.14,3.14,,,,,,,,,,,
132,"Ty Jerome, SG",OKC,27,24.1,2.18,-2.05,0.13,1.49,,,,,,,,,,,
133,"Dorian Finney-Smith, PF",DAL,48,32.3,-1.04,1.17,0.13,3.03,,,,,,,,,,,
134,"Ricky Rubio, PG",MIN,57,26.2,-0.18,0.29,0.11,2.96,,,,,,,,,,,
135,"Max Strus, SG",MIA,32,12.1,1.47,-1.37,0.10,0.97,,,,,,,,,,,
136,"Goran Dragic, PG",MIA,40,26.3,1.40,-1.30,0.10,2.25,,,,,,,,,,,
137,"John Wall, PG",HOU,40,32.2,0.21,-0.13,0.09,2.44,,,,,,,,,,,
138,"Darius Miller, SF",OKC,18,10.9,1.31,-1.23,0.08,0.41,,,,,,,,,,,
139,"Saddiq Bey, SF",DET,59,25.9,-0.16,0.23,0.07,3.04,,,,,,,,,,,
140,"Collin Sexton, PG",CLE,50,35.7,-0.47,0.53,0.06,3.26,,,,,,,,,,,
141,"RJ Barrett, SG",NY,61,34.4,-2.13,2.18,0.05,3.70,,,,,,,,,,,
142,"Daniel Theis, C",BOS/CHI,57,24.2,-0.98,1.03,0.05,2.73,,,,,,,,,,,
143,"Juan Toscano-Anderson, SF",GS,42,18.6,-0.46,0.51,0.05,1.52,,,,,,,,,,,
144,"Will Barton, SF",DEN,56,31.0,-1.88,1.89,0.01,3.05,,,,,,,,,,,
145,"Cameron Payne, PG",PHX,49,17.3,1.77,-1.76,0.01,1.92,,,,,,,,,,,
146,"Ben McLemore, G",HOU/LAL,41,17.0,1.33,-1.32,0.01,1.57,,,,,,,,,,,
147,"Jae'Sean Tate, SF",HOU,61,29.0,-1.26,1.25,-0.01,3.36,,,,,,,,,,,
148,"Daniel Gafford, C",CHI/WSH,42,14.0,0.18,-0.20,-0.01,1.32,,,,,,,,,,,
149,"Rodney McGruder, SG",DET,16,12.1,0.98,-0.99,-0.02,0.43,,,,,,,,,,,
150,"Miles Bridges, SF",CHA,60,28.5,0.63,-0.66,-0.03,3.58,,,,,,,,,,,
151,"Gary Trent Jr., SG",POR/TOR,55,30.9,-1.07,1.01,-0.07,2.79,,,,,,,,,,,
152,"Kyle Kuzma, SF",LAL,57,28.5,0.16,-0.23,-0.08,3.17,,,,,,,,,,,
153,"Tyler Johnson, SG",BKN,32,16.8,0.88,-1.00,-0.12,1.09,,,,,,,,,,,
154,"Justin Holiday, SF",IND,60,30.9,-1.30,1.14,-0.16,3.24,,,,,,,,,,,
155,"Pat Connaughton, SG",MIL,57,23.1,0.33,-0.49,-0.16,2.66,,,,,,,,,,,
156,"Patty Mills, PG",SA,56,25.4,1.83,-2.02,-0.19,3.00,,,,,,,,,,,
157,"Patrick Patterson, PF",LAC,33,14.3,-0.25,0.05,-0.20,0.85,,,,,,,,,,,
158,"Desmond Bane, SG",MEM,55,22.1,0.42,-0.62,-0.21,2.22,,,,,,,,,,,
159,"Furkan Korkmaz, SG",PHI,47,19.7,1.34,-1.55,-0.21,1.82,,,,,,,,,,,
160,"David Nwaba, SF",HOU,30,22.6,0.20,-0.42,-0.22,1.31,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
161,"Rudy Gay, SF",SA,51,21.7,0.27,-0.50,-0.23,2.26,,,,,,,,,,,
162,"Carsen Edwards, PG",BOS,25,8.5,0.98,-1.22,-0.23,0.41,,,,,,,,,,,
163,"Darius Bazley, PF",OKC,44,31.2,-2.02,1.79,-0.24,2.14,,,,,,,,,,,
164,"Malik Monk, SG",CHA,32,21.7,2.36,-2.61,-0.25,1.43,,,,,,,,,,,
165,"Markieff Morris, PF",LAL,52,20.6,-0.74,0.46,-0.27,1.89,,,,,,,,,,,
166,"Bryn Forbes, SG",MIL,59,19.1,1.57,-1.86,-0.29,2.15,,,,,,,,,,,
167,"Immanuel Quickley, SG",NY,56,19.5,1.64,-1.94,-0.30,1.97,,,,,,,,,,,
168,"Isaiah Joe, SG",PHI,32,9.2,0.58,-0.88,-0.30,0.59,,,,,,,,,,,
169,"Montrezl Harrell, C",LAL,59,24.0,0.74,-1.05,-0.31,2.71,,,,,,,,,,,
170,"Langston Galloway, SG",PHX,35,10.9,0.44,-0.76,-0.32,0.71,,,,,,,,,,,
171,"Bobby Portis, C",MIL,56,21.2,0.72,-1.03,-0.32,2.26,,,,,,,,,,,
172,"Jevon Carter, PG",PHX,48,11.1,1.05,-1.42,-0.37,1.02,,,,,,,,,,,
173,"Landry Shamet, SG",BKN,50,22.0,1.47,-1.84,-0.37,1.84,,,,,,,,,,,
174,"Georges Niang, SF",UTAH,60,14.5,0.47,-0.86,-0.39,1.51,,,,,,,,,,,
175,"Kelly Oubre Jr., SG",GS,54,30.8,-1.83,1.43,-0.40,2.46,,,,,,,,,,,
176,"Robert Covington, PF",POR,58,32.2,-3.09,2.69,-0.41,2.46,,,,,,,,,,,
177,"Justin Robinson, G",OKC,9,9.8,0.37,-0.78,-0.41,0.13,,,,,,,,,,,
178,"Jusuf Nurkic, C",POR,25,23.3,-1.20,0.77,-0.43,0.78,,,,,,,,,,,
179,"George Hill, G",PHI/OKC,18,24.8,-0.53,0.08,-0.44,0.57,,,,,,,,,,,
180,"Alize Johnson, PF",BKN,12,10.6,0.07,-0.53,-0.46,0.22,,,,,,,,,,,
181,"Garrett Temple, SF",CHI,44,26.8,-0.70,0.23,-0.47,1.85,,,,,,,,,,,
182,"Eric Bledsoe, SG",NO,59,29.8,-0.98,0.51,-0.47,2.32,,,,,,,,,,,
183,"Jaren Jackson Jr., PF",MEM,2,21.5,0.60,-1.08,-0.48,0.10,,,,,,,,,,,
184,"Mo Bamba, C",ORL,36,13.4,0.43,-0.92,-0.49,0.80,,,,,,,,,,,
185,"Kelan Martin, SG",IND,23,5.5,0.05,-0.55,-0.49,0.26,,,,,,,,,,,
186,"Frank Kaminsky, PF",PHX,35,14.4,-0.72,0.21,-0.51,0.72,,,,,,,,,,,
187,"Tim Hardaway Jr., SF",DAL,58,28.3,1.00,-1.52,-0.52,2.49,,,,,,,,,,,
188,"Jordan Nwora, SF",MIL,25,9.1,1.15,-1.68,-0.52,0.38,,,,,,,,,,,
189,"Edmond Sumner, PG",IND,47,15.9,0.82,-1.35,-0.53,1.12,,,,,,,,,,,
190,"Dean Wade, PF",CLE,51,16.8,-0.24,-0.29,-0.53,1.29,,,,,,,,,,,
191,"Damion Lee, SG",GS,57,18.9,0.64,-1.17,-0.54,1.74,,,,,,,,,,,
192,"Brandon Clarke, PF",MEM,49,25.1,-0.40,-0.14,-0.54,1.85,,,,,,,,,,,
193,"Goga Bitadze, C",IND,37,11.3,0.35,-0.90,-0.55,0.68,,,,,,,,,,,
194,"Danilo Gallinari, PF",ATL,41,23.9,1.58,-2.14,-0.56,1.56,,,,,,,,,,,
195,"Trevor Ariza, SF",MIA,20,27.0,-1.22,0.65,-0.57,0.67,,,,,,,,,,,
196,"Paul Watson, SG",TOR,27,11.0,0.60,-1.17,-0.57,0.47,,,,,,,,,,,
197,"Alec Burks, SG",NY,44,25.8,0.50,-1.08,-0.58,1.65,,,,,,,,,,,
198,"Frank Jackson, PG",DET,32,16.5,1.12,-1.74,-0.62,0.80,,,,,,,,,,,
199,"James Ennis III, SF",ORL,39,24.3,-1.43,0.80,-0.63,1.09,,,,,,,,,,,
200,"Josh Richardson, SG",DAL,48,31.8,-1.37,0.74,-0.63,1.85,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
201,"Bruce Brown, SF",BKN,57,22.4,-1.00,0.34,-0.66,1.57,,,,,,,,,,,
202,"Marc Gasol, C",LAL,45,19.5,-2.35,1.69,-0.66,0.98,,,,,,,,,,,
203,"Willie Cauley-Stein, C",DAL,40,17.0,-0.87,0.21,-0.66,0.94,,,,,,,,,,,
204,"Josh Hart, SG",NO,47,28.7,0.68,-1.34,-0.66,1.90,,,,,,,,,,,
205,"Maxi Kleber, PF",DAL,43,27.7,-2.29,1.61,-0.68,1.43,,,,,,,,,,,
206,"Luke Kornet, C",BOS/CHI,24,9.3,-0.81,0.13,-0.68,0.37,,,,,,,,,,,
207,"Armoni Brooks, G",HOU,9,23.6,0.63,-1.32,-0.69,0.28,,,,,,,,,,,
208,"Henry Ellenson, PF",TOR,2,19.0,0.24,-0.95,-0.71,0.07,,,,,,,,,,,
209,"Justin James, SG",SAC,26,5.8,-0.10,-0.61,-0.71,0.25,,,,,,,,,,,
210,"Steven Adams, C",NO,56,28.0,-2.78,2.07,-0.71,1.68,,,,,,,,,,,
211,"Josh Jackson, SG",DET,56,25.0,0.36,-1.08,-0.72,1.83,,,,,,,,,,,
212,"Naz Reid, C",MIN,59,19.2,-0.06,-0.67,-0.72,1.55,,,,,,,,,,,
213,"DeAndre Jordan, C",BKN,53,22.3,-1.11,0.37,-0.75,1.32,,,,,,,,,,,
214,"Shake Milton, SG",PHI,52,24.0,0.97,-1.72,-0.75,1.75,,,,,,,,,,,
215,"PJ Dozier, SG",DEN,45,21.0,-0.52,-0.24,-0.75,1.19,,,,,,,,,,,
216,"Jarred Vanderbilt, PF",MIN,53,17.2,-1.56,0.79,-0.76,1.06,,,,,,,,,,,
217,"Alfonzo McKinnie, SF",LAL,34,6.5,-0.05,-0.72,-0.76,0.28,,,,,,,,,,,
218,"Jeremy Lamb, SG",IND,36,21.3,0.88,-1.66,-0.78,1.01,,,,,,,,,,,
219,"DeMar DeRozan, SF",SA,50,34.0,-0.61,-0.18,-0.79,1.87,,,,,,,,,,,
220,"Cody Zeller, C",CHA,38,21.0,0.13,-0.93,-0.79,0.98,,,,,,,,,,,
221,"Skylar Mays, SG",ATL,27,7.4,0.29,-1.10,-0.81,0.27,,,,,,,,,,,
222,"Spencer Dinwiddie, PG",BKN,3,21.3,0.58,-1.40,-0.81,0.08,,,,,,,,,,,
223,"JJ Redick, SG",NO/DAL,38,17.7,1.11,-1.93,-0.82,0.87,,,,,,,,,,,
224,"Abdel Nader, SF",PHX,24,14.8,0.06,-0.89,-0.83,0.48,,,,,,,,,,,
225,"Nickeil Alexander-Walker, SG",NO,41,20.8,0.26,-1.10,-0.83,0.98,,,,,,,,,,,
226,"Bol Bol, C",DEN,26,4.8,0.02,-0.86,-0.84,0.17,,,,,,,,,,,
227,"Svi Mykhailiuk, SG",DET/OKC,56,19.9,0.49,-1.34,-0.85,1.28,,,,,,,,,,,
228,"Kent Bazemore, SF",GS,57,18.1,-0.05,-0.81,-0.85,1.29,,,,,,,,,,,
229,"Cassius Winston, PG",WSH,18,5.1,0.01,-0.87,-0.86,0.12,,,,,,,,,,,
230,"Justin Jackson, SF",OKC,33,16.5,0.61,-1.47,-0.87,0.62,,,,,,,,,,,
231,"Cedi Osman, SF",CLE,50,24.3,0.11,-0.99,-0.88,1.35,,,,,,,,,,,
232,"Darius Garland, PG",CLE,50,33.7,-0.17,-0.72,-0.89,1.70,,,,,,,,,,,
233,"Damyean Dotson, SG",CLE,35,18.8,-0.51,-0.40,-0.90,0.74,,,,,,,,,,,
234,"Marvin Bagley III, PF",SAC,37,25.7,-0.87,-0.04,-0.90,0.88,,,,,,,,,,,
235,"Enes Kanter, C",POR,60,25.8,-1.10,0.20,-0.90,1.48,,,,,,,,,,,
236,"Matisse Thybulle, SG",PHI,57,20.1,-1.46,0.56,-0.90,1.27,,,,,,,,,,,
237,"Coby White, PG",CHI,57,30.7,0.54,-1.45,-0.91,1.90,,,,,,,,,,,
238,"Willy Hernangomez, C",NO,36,15.6,-0.30,-0.61,-0.91,0.66,,,,,,,,,,,
239,"Tyler Herro, PG",MIA,48,30.7,0.25,-1.17,-0.92,1.61,,,,,,,,,,,
240,"Denzel Valentine, SG",CHI,53,17.6,0.64,-1.58,-0.95,1.14,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
241,"Kenrich Williams, SF",OKC,60,21.2,0.07,-1.02,-0.95,1.37,,,,,,,,,,,
242,"Ish Smith, PG",WSH,32,20.2,0.45,-1.41,-0.96,0.74,,,,,,,,,,,
243,"Tyus Jones, PG",MEM,57,18.7,0.64,-1.61,-0.96,1.20,,,,,,,,,,,
244,"Naji Marshall, SF",NO,20,19.0,-0.08,-0.90,-0.98,0.38,,,,,,,,,,,
245,"Jalen Brunson, PG",DAL,55,25.5,0.91,-1.90,-0.99,1.47,,,,,,,,,,,
246,"Jake Layman, SF",MIN,42,14.3,-0.41,-0.59,-1.00,0.61,,,,,,,,,,,
247,"Jaxson Hayes, C",NO,48,14.8,0.10,-1.10,-1.00,0.75,,,,,,,,,,,
248,"Jarrell Brantley, PF",UTAH,21,4.5,0.26,-1.26,-1.00,0.11,,,,,,,,,,,
249,"Robert Williams III, C",BOS,47,18.9,0.78,-1.79,-1.02,0.94,,,,,,,,,,,
250,"Juancho Hernangomez, PF",MIN,42,16.7,0.43,-1.46,-1.04,0.72,,,,,,,,,,,
251,"Alex Len, C",WSH/TOR,52,15.3,-0.80,-0.25,-1.05,0.72,,,,,,,,,,,
252,"Terence Davis, G",SAC/TOR,49,15.5,1.54,-2.59,-1.05,0.84,,,,,,,,,,,
